SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf71,B1003,top,0,1,463127.08,15224845.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224844.251600001 463128.0832 15224844.251600001 463128.0832 15224846.251600001 463126.0832 15224846.251600001,1089691.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf71
srf72,B1003,top,0,1,463127.08,15224847.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224846.251600001 463128.0832 15224846.251600001 463128.0832 15224848.251600001 463126.0832 15224848.251600001,1089326.12,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf72
srf73,B1003,top,0,1,463127.08,15224849.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224848.251600001 463128.0832 15224848.251600001 463128.0832 15224850.251600001 463126.0832 15224850.251600001,1089555.12,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf73
srf74,B1003,top,0,1,463127.08,15224851.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224850.251600001 463128.0832 15224850.251600001 463128.0832 15224852.251600001 463126.0832 15224852.251600001,1090243.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf74
srf75,B1003,top,0,1,463127.08,15224853.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224852.251600001 463128.0832 15224852.251600001 463128.0832 15224854.251600001 463126.0832 15224854.251600001,1092487.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf75
srf76,B1003,top,0,1,463127.08,15224855.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224854.251600001 463128.0832 15224854.251600001 463128.0832 15224856.251600001 463126.0832 15224856.251600001,1093383.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf76
srf77,B1003,top,0,1,463127.08,15224857.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224856.251600001 463128.0832 15224856.251600001 463128.0832 15224858.251600001 463126.0832 15224858.251600001,1094169.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf77
srf78,B1003,top,0,1,463127.08,15224859.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224858.251600001 463128.0832 15224858.251600001 463128.0832 15224860.251600001 463126.0832 15224860.251600001,1094213.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf78
srf79,B1003,top,0,1,463127.08,15224861.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224860.251600001 463128.0832 15224860.251600001 463128.0832 15224862.251600001 463126.0832 15224862.251600001,1095721.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf79
srf80,B1003,top,0,1,463127.08,15224863.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463126.0832 15224862.251600001 463128.0832 15224862.251600001 463128.0832 15224864.251600001 463126.0832 15224864.251600001,1095721.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf80
srf81,B1003,top,0,1,463127.06,15224865.09,16.00,-0.00,0.00,1,3.35,roofs,3,0,463126.0832 15224864.251600001 463128.0832 15224864.251600001 463128.0832 15224865.834173825 463126.0832 15224866.020249097,1095721.62,0.00,15.33,1.82,-0.00,1.79,5,6,10,roofs_top,srf81
srf82,B1003,top,0,1,463129.11,15224833.74,16.00,-0.00,0.00,1,2.06,roofs,3,0,463130.0832 15224833.131307382 463130.0832 15224834.251600001 463128.0832 15224834.251600001 463128.0832 15224833.316339485,1078001.38,0.00,15.33,1.82,-0.00,1.10,5,6,10,roofs_top,srf82
srf83,B1003,top,0,1,463129.08,15224835.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463128.0832 15224834.251600001 463130.0832 15224834.251600001 463130.0832 15224836.251600001 463128.0832 15224836.251600001,1083940.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf83
srf84,B1003,top,0,1,463129.08,15224837.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463128.0832 15224836.251600001 463130.0832 15224836.251600001 463130.0832 15224838.251600001 463128.0832 15224838.251600001,1087713.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf84
